name,Prior_visi,Num_track
2018-08-28 18:46:31,yes,1t
2018-08-28 18:50:46,no,2t
2018-08-29 18:12:18,yes,3t
2018-08-30 18:07:17,yes,5t
2018-08-30 19:44:41,yes,6t
2018-09-25 12:57:28,no,2
2018-09-25 13:22:22,no,3
2018-09-25 13:49:52,no,4
2018-09-25 14:23:58,yes,6
2018-09-25 15:21:00,yes,8
2018-09-25 15:56:07,no,9
2018-09-26 12:33:07,no,10
2018-09-26 12:38:45,no,11
2018-09-26 12:50:22,yes,12
2018-09-26 13:19:32,yes,13
2018-09-26 13:25:14,yes,14
2018-09-26 14:11:54,no,16
2018-09-26 14:23:39,yes,17
2018-09-26 14:55:22,no,18
2018-09-26 15:16:36,no,19
2018-09-26 15:30:15,no,21
2018-09-26 16:11:13,no,22
2018-09-26 16:47:19,no,23
2018-09-26 17:24:22,no,24
2018-09-26 17:28:18,no,25
2018-09-26 18:02:04,yes,26
2018-09-27 11:21:27,yes,27
2018-09-27 11:33:08,no,28
2018-09-27 11:39:08,yes,29
2018-09-27 12:05:16,no,30
2018-09-27 12:36:06,yes,31
2018-09-27 12:54:35,no,32
2018-09-27 13:18:57,yes,33
2018-09-27 13:57:44,no,34
2018-09-27 14:25:59,no,35
2018-09-27 14:29:10,no,36
2018-09-27 14:57:19,no,37
2018-09-27 15:44:53,no,38
2018-09-27 15:56:56,yes,39
2018-09-27 16:16:24,no,40
2018-09-27 16:32:42,yes,41
2018-09-28 16:54:37,yes,42
2018-09-28 17:01:11,no,43
2018-09-28 17:21:37,yes,44
2018-09-29 10:46:32,yes,45
2018-09-29 11:15:36,yes,47
2018-09-29 12:10:16,no,48
2018-09-29 12:25:44,no,49
2018-09-29 12:42:17,yes,50
2018-09-30 11:13:35,yes,51
2018-09-30 12:01:03,yes,52
2018-09-30 12:10:00,yes,53
2018-09-30 12:33:00,no,55
2018-09-30 13:15:53,no,57
2018-09-30 13:55:55,no,58
2018-09-30 14:01:06,yes,59
2018-09-30 14:46:58,yes,60ok
2018-09-30 14:52:03,no,61
2018-09-30 14:57:37,no,62
2018-09-30 15:02:10,yes,63
2018-09-30 16:00:47,yes,64
2018-09-30 16:22:15,yes,65
2018-09-30 16:44:48,no,66
2018-09-30 16:49:33,yes,67
2018-09-30 16:57:52,yes,68
